movie_id,canonical_key,sources,num_sources,title,release_year,imdb_rating,imdb_votes,genre,description,poster_url,language,imdb_id
1,chamatkar_1992.0,"['netflix', 'imdb']",2,Chamatkar,1992.0,6.7,3415.0,"Comedy, Drama, Fantasy","Sunder Srivastava (Shahrukh Khan) is a young graduate whose main ambition in life is to fulfill his father's dream of starting a school on his half-acre property in his village, though he has no funds to execute his plans. Sunder's childhood friend Prem, a seasoned conman who operates in Bombay, convinces the gullible Sunder to mortgage his land to the village Zamindar (landlord) and fly to Dubai. Prem promises Sunder a handsomely paying teacher's job in Dubai that would give Sunder enough money to start his school within two years. Sunder does as told and arrives in Bombay to meet Prem; not only is there no sign of his friend at the station, but Sunder also gets unwittingly involved with a petty thief who robs him of all his luggage and money. To make matters worse, when Sunder reaches Prem's lodge, he finds an apologetic letter from Prem informing him that he has used his Rs.10,000 to get himself to Dubai instead and will one day repay him. Now at the end of his tether, Sunder wanders into an old Christian cemetery. Sitting on an old grave, Sunder gives vent to his frustrations and strikes the tombstone in helplessness, but immediately apologizes to the deceased. This amuses the ghost of Amar Kumar-- alias Marco (Naseeruddin Shah)-- who was killed and thrown into the grave 20 years before, only to rise at Sunder's apology. Marco explains to a frightened Sunder that he was a notorious Crime Don, who at the behest of his romantic partner Savitri (Malvika Tiwari), had resolved to give up crime, but was shot by his prot̩g̩ Kunta the day after the wedding. Marco seeks Sunder's help in getting even with his killers and promises Sunder a job and a place to stay in return. Marco manages to get Sunder a post in a school run by his father-in-law (Shammi Kapoor). Everyone grows fond of the new games teacher, including Marco's daughter (Urmila Matondkar). This last, a vivacious girl of an age with Sunder, courts the boy at least twice, accompanied by her largely invisible father. Kunta (Tinnu Anand) makes an attempt to capture the playing ground on the college campus. The college is starved of funds and proposes a cricket match to collect funds. Sunder and his team are helped by the invisible Marco, who cheats on their behalf and ensures victory. When Sunder tries to tell the others that he can see and talk to Marco, nobody believes him. In a final bid for victory, Kunta captures Sunder, Marco's daughter, and Marco's father-in-law, attempting to bury them alive. Marco rescues them and gives all the criminals led by Kunta a beating. He is about to kill Kunta when Sunder pleads with him not to do so. Marco forgives his enemy and lets him go. In time, Sunder marries Marco's daughter while Marco ascends to heaven. As he goes, Marco warns the children that although he came back to life for a second chance to do the right thing, they will not have the same chance; they therefore must make the best of what chances they have.",http://ia.media-imdb.com/images/M/MV5BMTkyODkwNTM0OF5BMl5BanBnXkFtZTcwMzA3MzYzMQ@@._V1._SX54_CR005474_.jpg,Hindi                    ,tt0126234
2,down river_2013.0,"['imdb', 'amazon']",2,Down River,2013.0,62.0,1962.0,Drama,"Three young women artists all live in the same building. Their guide in life is a neighbor named Pearl, a charismatic and caring older woman who inspires them to new heights. When Pearl unexpectedly leaves their lives, the three are forced to overcome their fears and face the future without the guidance they've come to rely on.",http://ia.media-imdb.com/images/M/MV5BMjMxMjczODQ3OV5BMl5BanBnXkFtZTgwNjQ4NzAyMDE@._V1_SX300.jpg,English                  ,tt2202928
3,my name is sandy_2012.0,"['imdb', 'amazon']",2,My Name Is Sandy,2012.0,87.0,2718.0,Drama,"Sandy, an illegal immigrant from France, has been working Manhattan's streets for three years. After a long days work, she is asked by her last client of the day if she can tell him her story.",http://ia.media-imdb.com/images/M/MV5BMjI5NTc3NjMwOV5BMl5BanBnXkFtZTgwMTQ1OTMwMDE@._V1_SX300.jpg,English                  ,tt1522186
4,last night_2010.0,"['netflix', 'imdb', 'amazon']",3,Last Night,2010.0,56.0,1541.0,"Drama, Romance","Joanna accuses her husband, Michael, of being attracted to his co-worker. Wanting to make-up before he goes on a business trip, she assumes she over-reacted. But when they are both away from each other for one night, Michael ends up testing his loyalty to Joanna and his attraction to Laura. And Joanna tests her honesty to Michael when her ex-boyfriend Alex suddenly appears in New York for the day.",http://ia.media-imdb.com/images/M/MV5BNTk1Nzc5OTkwN15BMl5BanBnXkFtZTcwNjEyMTA4NA@@._V1_SX300.jpg,English                  ,tt1294688
5,dolphin tale 2_2014.0,"['netflix', 'imdb']",2,Dolphin Tale 2,2014.0,54.0,1643.0,"Drama, Family","It has been several years since young Sawyer Nelson and the dedicated team at the Clearwater Marine Hospital, headed by Dr. Clay Haskett, rescued Winter. With the help of Dr. Cameron McCarthy, who developed a unique prosthetic tail for the injured dolphin, they were able to save her life. Yet their fight is not over. Winter's surrogate mother, the very elderly dolphin Panama, has passed away, leaving Winter without the only poolmate she has ever known. However, the loss of Panama may have even greater repercussions for Winter, who, according to USDA regulations, cannot be housed alone, as dolphins' social behavior requires them to be paired with other dolphins. Time is running out to find a companion for her before the team at Clearwater loses their beloved Winter to another aquarium.",http://ia.media-imdb.com/images/M/MV5BMjA5NzE4ODQwMV5BMl5BanBnXkFtZTgwMTc4OTA5MTE@._V1_SX300.jpg,English                  ,tt2978462
6,kabhi haan kabhi naa_1994.0,"['netflix', 'imdb']",2,Kabhi Haan Kabhi Naa,1994.0,8.4,9964.0,"Comedy, Drama, Music, Romance",Sunil and some of his friends manage their own orchestra by performing at weddings and special occasions. Sunil is in love with Aana but Aana acknowledges the love of Chris; when Sunil find out about this he decides to utilize the best of his powers to prevent the couple from meeting only to stand expose in the eyes of Aana who throws him out from the music band. He finds an opportunity coming his way when Chris parents arranges his marriage elsewhere but another calamity destruct him when he find out that he failed his exam forcing him to forge a certificate which states that he is successful at the exam in the eyes of his parents.,http://i.media-imdb.com/images/SF1f0a42ee1aa08d477a576fbbf7562eed/realm/feature.gif,Hindi                    ,tt0110222
7,haider_2014.0,"['netflix', 'imdb']",2,Haider,2014.0,8.4,29248.0,"Crime, Drama, Romance, Thriller","Vishal Bhardwaj's adaptation of William Shakespeare's 'Hamlet', Haider - a young man returns home to Kashmir on receiving news of his father's disappearance. Not only does he learn that security forces have detained his father for harboring militants, but that his mother is in a relationship with his very own uncle. Intense drama follows between mother and son as both struggle to come to terms with news of his father's death. Soon Haider learns that his uncle is responsible for the gruesome murder, what follows is his journey to avenge his father's death.",http://ia.media-imdb.com/images/M/MV5BMjA1NTEwMDMxMF5BMl5BanBnXkFtZTgwODkzMzI0MjE@._V1._SX54_CR005474_.jpg,Hindi                    ,tt3390572
8,last shift_2014.0,"['imdb', 'amazon']",2,Last Shift,2014.0,56.0,1141.0,"Horror, Thriller","From director Anthony DiBlasi comes a Manson inspired horror film centering around a transitioning police station. Officer Jessica Loren has been assigned to wait for a Hazmat team to pick up bio-hazardous waste from the station's armory. But unbeknownst to Jessica, cult Leader John Michael Paymon has haunted the department ever since he and two of this followers committed suicide a year ago to date. And now, Jessica is about to find out how dangerous they can be when she's left alone on this Last Shift.",http://ia.media-imdb.com/images/M/MV5BMTM4MzY0ODg0MV5BMl5BanBnXkFtZTcwMjE3NDU4OQ@@._V1_SX300.jpg,English                  ,tt2965466
9,vivah_2006.0,"['netflix', 'imdb']",2,Vivah,2006.0,6.8,4005.0,"Drama, Family, Musical, Romance","After the passing away of his wife, wealthy Delhi-based businessman, Harishchandra, took it upon himself to bring up two sons, Sunil and Prem. When they grew up he got Sunil married to Bhavna, and let Prem complete his education, even let him study abroad. Soon Sunil and Bhavna gave birth to a son, Rahul. When Bhagat told him that he had found a suitable match for Prem in Poonam, the niece of Krishnakant, a fruit merchant from Madhupur, Uttar Pradesh, the family traveled there, met with Krishnakant, his wife, Rama, and daughter, Rajni, and instantly approved of Poonam. Prem and Poonam also approved of each other, the Astrologer was consulted and a marriage was scheduled to take place in six months time. Shortly thereafter the engagement took place. The two families met again in Som Sarovar, Nainital, to let everyone get acquainted, and when Prem got his first contract from Japan, Krishnakant took his family to Delhi to celebrate. With the deadline for the marriage drawing close, both families start their respective preparations - not knowing that fate may have other plans in store for this young couple.",http://ia.media-imdb.com/images/M/MV5BMTk0MTMzMDc2MV5BMl5BanBnXkFtZTcwNTQwNjk5Mw@@._V1._SX54_CR005474_.jpg,Hindi                    ,tt0494290
10,max rose_2013.0,"['netflix', 'imdb']",2,Max Rose,2013.0,68.0,2043.0,"Drama, Family",A jazz pianist makes a discovery days before the death of his wife that causes him to believe his sixty-five year marriage was a lie. He embarks on an exploration of his own past that brings him face to face with a menagerie of characters from a bygone era.,http://ia.media-imdb.com/images/M/MV5BMTUyNzk4ODMxN15BMl5BanBnXkFtZTcwNTg3NzU0OQ@@._V1_SX300.jpg,English                  ,tt1439558
